"","V1","V2","V3","V4"
"1","PASS","82.0716473565055","154.209615128512","10.1809828206153"
"2","PASS","82.0716473565055","154.209615128512","10.1809828206153"
"3","MAP","76.003862032228","143.328938607005","9.29977360500732"
"4","MUC|HLA","75.709681715275","142.716873085631","9.26048741510188"
"5","MAP","75.709681715275","142.716873085631","9.26048741510188"
"6","MAX pop AF","41.756159275536","83.6675988813424","6.01105340258357"
"7","local AF","41.6933013716873","83.6125982154748","5.99067785324277"
"8","lod  -30 : ","41.6875749101079","83.6062058862698","5.99014515914236"
"9","lod  -29 : ","41.6869090424824","83.6054068451192","5.99014515914236"
"10","lod  -28 : ","41.6849114396058","83.6038087628179","5.99014515914236"
"11","lod  -27 : ","41.6843787455054","83.6016779864163","5.99014515914236"
"12","lod  -26 : ","41.6822479691037","83.59994673059","5.99001198561726"
"13","lod  -25 : ","41.6810494073778","83.5978159541883","5.99001198561726"
"14","lod  -24 : ","41.6798508456519","83.5940870954854","5.98961246504195"
"15","lod  -23 : ","41.6789186309762","83.591024104408","5.98947929151685"
"16","lod  -22 : ","41.6785191104008","83.5888933280064","5.98921294446664"
"17","lod  -21 : ","41.6741243840724","83.5851644693035","5.98801438274071"
"18","lod  -20 : ","41.6723931282461","83.5823678252763","5.98788120921561"
"19","lod  -19 : ","41.6687974430683","83.5785057930483","5.9876148621654"
"20","lod  -18 : ","41.6667998401918","83.5735783726195","5.9874816886403"
"21","lod  -17 : ","41.6617392462379","83.566387002264","5.98708216806499"
"22","lod  -16 : ","41.6566786522839","83.5569316819816","5.98641630043947"
"23","lod  -15 : ","41.6513517112798","83.5462777999734","5.98588360633906"
"24","lod  -14 : ","41.6457584232255","83.5313623651618","5.98548408576375"
"25","lod  -13 : ","41.6337728059662","83.513517112798","5.98468504461313"
"26","lod  -12 : ","41.6248501797843","83.4896790518045","5.98401917698761"
"27","lod  -11 : ","41.6111333066986","83.4603808762818","5.98268744173658"
"28","lod  -10 : ","41.5915567985085","83.4178985217739","5.98082301238514"
"29","lod  -9 : ","41.5635903582368","83.359968038354","5.97656145958184"
"30","lod  -8 : ","41.5289652417099","83.2952457051538","5.97309894792915"
"31","lod  -7 : ","41.481289119723","83.1885737115461","5.96723931282461"
"32","lod  -6 : ","41.41283792782","83.043814089759","5.95658543081635"
"33","lod  -5 : ","41.3039019842855","82.8140897589559","5.93274736982288"
"34","lod  -4 : ","41.136769210281","82.4738314023172","5.86576108669597"
"35","lod  -3 : ","40.8527100812358","81.8724197629511","5.56891729924091"
"36","lod  -2 : ","40.3081635370888","80.7364495938208","4.4646424290851"
"37","lod  -1 : ","39.7685444133706","79.6367026235184","3.56691969636436"
"38","lod  0 : ","39.601278465841","79.272206685311","3.01771207883873"
"39","lod  1 : ","39.5670528698895","79.2170728459182","2.79957384471967"
"40","lod  2 : ","39.5581302437076","79.2024237581569","2.74950059928086"
"41","lod  3 : ","39.5521374350779","79.1950992142762","2.70688507124784"
"42","lod  4 : ","39.5500066586763","79.1867092821947","2.68318018377946"
